bad,loan,mortdue,value,reason,job,yoj,derog,delinq,clage,ninq,clno,debtinc
0,81200,18834,108355,HomeImp,,28,0,0,139.14,0,14,34.042
0,12600,103960,127384,DebtCon,,2,0,0,129.02,0,25,34.479
0,18000,46865,61266,DebtCon,,5,0,0,102.59,2,9,26.354
0,10300,57676,71027,DebtCon,,19,0,0,157.52,1,11,33.992
0,9400,56508,78358,DebtCon,,17,0,0,141.93,0,11,32.327
0,17200,39316,66978,DebtCon,,4,0,0,99.99,1,10,26.437
0,82200,23197,110481,HomeImp,,26,0,1,127.77,0,14,30.943
0,6200,45356,82054,DebtCon,,2,0,0,201.33,4,29,29.662
0,17400,113890,135146,DebtCon,,16,0,0,174.1,1,17,37.634
0,8900,63342,78275,DebtCon,,19,0,0,162.2,1,11,32.613
0,18700,118208,130216,DebtCon,,14,0,0,190.96,0,17,40.748
0,10200,57142,72664,DebtCon,,19,0,0,158.19,1,12,32.497
0,8100,66691,82768,DebtCon,,4,0,0,184.19,0,15,32.397
0,78700,22762,102997,HomeImp,,25,0,0,146.63,0,13,34.3
0,13400,102700,121216,DebtCon,,3,0,0,124.56,1,25,34.953
0,82200,16097,111287,HomeImp,,26,0,0,142.12,0,14,31.743
0,10200,46140,56206,DebtCon,,8,1,0,115.78,1,25,22.314
0,15100,39679,62674,DebtCon,,5,1,0,95.6,1,9,28.506
0,5700,49806,82242,DebtCon,,3,0,0,210.35,3,30,31.243
0,81400,22344,108280,HomeImp,,25,0,0,148.11,0,14,34.286
0,15700,111367,127421,DebtCon,,16,0,0,184.23,1,18,41.035
0,14800,46698,60679,DebtCon,,6,1,0,126.49,2,10,28.395
0,21000,65205,86313,DebtCon,,4,0,0,99.37,0,15,40.143
0,8100,43553,88242,DebtCon,,2,0,0,207.94,4,30,31.33
0,8100,66546,84943,DebtCon,,3,0,0,225.69,0,15,30.398
0,15100,38549,59853,DebtCon,,5,0,0,104.18,2,9,29.142
0,14800,43983,60826,DebtCon,,4,1,1,113.9,1,9,27.108
0,81400,21041,111304,HomeImp,,26,0,0,146.32,0,14,32.131
0,79200,22940,110114,HomeImp,,28,0,1,144.62,0,13,32.367
0,9500,42699,57680,DebtCon,,10,0,0,114.49,1,26,25.075
0,21700,58363,78411,DebtCon,,5,0,0,104.17,0,16,38.188
0,17300,40280,66319,DebtCon,,4,0,0,101.33,2,9,27.976
0,10200,73157,83858,DebtCon,,3,0,0,193.51,0,16,29.088
0,20900,63038,86870,DebtCon,,3,0,0,113.7,0,16,38.733
0,16400,119879,128546,DebtCon,,16,0,0,183,0,17,40.851
0,8600,61468,72143,DebtCon,,19,0,0,163.3,0,11,31.926
0,16700,43794,61446,DebtCon,,6,0,0,96.45,1,9,28.453
0,15200,44414,60098,DebtCon,,4,1,0,105.75,2,9,27.375
0,11000,106762,123138,DebtCon,,2,0,0,131.01,0,25,32.804
0,16800,115870,130809,DebtCon,,15,0,0,177.63,0,17,39.567
0,10500,64295,73594,DebtCon,,19,0,0,157.25,0,11,33.556
0,11100,105226,122901,DebtCon,,3,0,0,113.69,1,26,33.897
0,20700,61710,86749,DebtCon,,2,0,0,114.01,0,16,40.762
0,17900,38233,63578,DebtCon,,6,1,0,79.12,2,9,26.519
0,79100,23553,103807,HomeImp,,25,0,1,142.19,0,13,31.47
0,10300,65876,80064,DebtCon,,3,0,0,220.83,0,15,30.633
0,8300,57503,72704,DebtCon,,18,0,0,156.59,0,11,33.337
0,15900,112973,129878,DebtCon,,17,0,0,179.13,0,17,39.192
0,5000,51209,55320,DebtCon,,5,,1,69.11,,15,35.025
0,6200,45787,64854,DebtCon,,4,,1,63.12,,16,36.539
0,5000,47479,61690,DebtCon,,5,,0,65.03,,16,36.699
0,8000,45557,56235,DebtCon,,7,,1,84.69,,16,36.503
0,5400,48152,55760,DebtCon,,6,,0,78.45,,16,35.764
0,7500,45864,57799,DebtCon,,7,,0,65.57,,16,33.866
0,7500,44744,60518,DebtCon,,6,,0,79.41,,16,34.397
0,17000,66894,75360,DebtCon,,8,,,,,,25.26
0,25100,85337,104607,HomeImp,,6,,,,,,27.95
0,23700,93734,98099,HomeImp,,8,,,,,,30.02
0,22700,93542,99198,HomeImp,,6,,,,,,30.08
0,24400,87838,104468,HomeImp,,6,,,,,,30.28
0,7600,77518,83727,DebtCon,,4,,,,,,22.655
0,22700,91303,98362,HomeImp,,7,,,,,,30.681
0,14100,65994,80037,DebtCon,,8,,,,,,27.735
0,5500,78059,78179,DebtCon,,5,,,,,,20.679
0,23400,89427,106590,HomeImp,,6,,,,,,29.372
0,14600,59658,80384,DebtCon,,8,,,,,,25.193
0,22900,88244,103144,HomeImp,,8,,,,,,31.073
0,6600,74376,84855,DebtCon,,3,,,,,,20.028
0,15200,59745,81269,DebtCon,,8,,,,,,26.986
0,6400,76577,83200,DebtCon,,5,,,,,,22.055
0,16400,62786,79154,DebtCon,,7,,,,,,24.839
0,13300,80059,121790,,,,,,,,,34.562
0,22300,101738,145709,HomeImp,,,,,,,,38.72
0,16400,86623,124048,,,,,,,,,35.811
0,8100,13179,32981,,,,,,,,,31.742
0,21300,99613,147991,HomeImp,,,,,,,,38.498
0,21600,106308,147378,HomeImp,,,,,,,,39.138
0,22800,52760,81362,,,,,,,,,38.025
0,19800,47488,77916,,,,,,,,,37.308
0,19400,45036,78900,,,,,,,,,40.024
0,20700,100778,142271,HomeImp,,,,,,,,39.983
0,9000,12340,36133,,,,,,,,,31.704
0,10500,12630,32220,,,,,,,,,34.346
0,20700,48134,78954,,,,,,,,,37.76
0,14700,82967,114835,,,,,,,,,34.478
0,15300,83004,121108,,,,,,,,,36.823
0,19500,51333,77732,,,,,,,,,37.398
0,14600,82051,118505,,,,,,,,,35.891
0,19900,45748,82516,,,,,,,,,39.314
0,16400,86422,116097,,,,,,,,,35.599
0,7100,54700,68500,DebtCon,,19,0,0,155.2,1,12,
0,78400,13900,102910,HomeImp,,27,0,1,138,0,14,
0,5500,43486,81600,DebtCon,,4,0,0,216.13,4,30,
0,8000,63700,79754,DebtCon,,3.8,0,0,208,0,16,
0,11000,102000,120000,DebtCon,,3,0,0,125.8,1,26,
0,7500,40936,50900,DebtCon,,10,1,0,115.6,1,26,
0,5000,70470,77908,DebtCon,,5,,,,,,
0,13900,57700,74350,DebtCon,,8.5,,,,,,
0,22100,84114,97775,HomeImp,,8,,,,,,
0,20000,99000,140000,HomeImp,,,,,,,,
0,13000,77355,114400,,,,,,,,,
0,19000,43074,75700,,,,,,,,,
0,13000,,28981,HomeImp,,28,0,0,203.9,0,4,25.741
0,13300,,27136,HomeImp,,27,0,0,211,1,4,23.807
0,17100,,60781,,,8,0,0,101.01,0,14,27.72
0,11400,,27439,HomeImp,,27,0,0,208.18,0,5,23.83
0,13600,,71904,,,0,0,0,,0,0,3.265
0,12400,,69350,,,0,0,0,,0,0,2.365
0,7400,,54138,HomeImp,,1,0,0,,0,0,12.22
0,15200,,67103,,,1,0,0,,0,0,3.689
0,12100,,72731,,,0,0,0,,0,0,0.72
0,4500,,49044,HomeImp,,0,0,0,,0,0,11.653
0,13200,,69139,,,0,1,0,,0,1,1.566
0,5300,,49396,HomeImp,,0,0,0,,0,0,12.044
0,15100,,65961,,,0,0,0,,0,0,1.604
0,6100,,46830,HomeImp,,0,0,1,,0,0,13.306
0,6000,,53190,HomeImp,,0,0,0,,0,0,15.174
0,10000,,69502,,,,,,,,,25.773
0,7500,,49804,,,,,,,,,12.391
0,25600,,147598,,,,,,,,,14.462
0,6900,,57067,,,,,,,,,14.371
0,5900,,66903,,,,,,,,,32.783
0,3800,,73189,,,,,,,,,22.254
0,8800,,74928,,,,,,,,,23.989
0,22900,,148018,,,,,,,,,15.938
0,9100,,50391,,,,,,,,,15.025
0,10900,,76207,,,,,,,,,22.393
0,8600,,51703,,,,,,,,,12.105
0,5800,,34704,HomeImp,,,,,,,,34.174
0,22600,,144841,,,,,,,,,16.382
0,6200,,80078,,,,,,,,,25.376
0,5700,,74685,,,,,,,,,24.275
0,8200,,49362,,,,,,,,,11.77
0,24600,,146804,,,,,,,,,17.264
